name_en,name_ko,league,league_en
AZ,AZ 알크마르,other,Other (UCL opponents)
Ajaccio,아작시오,ligue-1,Ligue 1 / Ligue 2
Ajax,아약스,other,Other (UCL opponents)
Ajax Amsterdam,아약스,other,Other (UCL opponents)
Alaves,알라베스,la-liga,La Liga / Segunda
Albacete,알바세테,la-liga,La Liga / Segunda
Almeria,알메리아,la-liga,La Liga / Segunda
Amiens,아미앵,ligue-1,Ligue 1 / Ligue 2
Anderlecht,안더레흐트,other,Other (UCL opponents)
Andorra,안도라,la-liga,La Liga / Segunda
Angers,앙제,ligue-1,Ligue 1 / Ligue 2
Annecy,안시,ligue-1,Ligue 1 / Ligue 2
Arsenal,아스날,premier-league,Premier League / Championship
Aston Villa,아스톤 빌라,premier-league,Premier League / Championship
Atalanta,아탈란타,serie-a,Serie A / Serie B
Athletic Club,아틀레틱 빌바오,la-liga,La Liga / Segunda
Atleti,아틀레티코 마드리드,la-liga,La Liga / Segunda
Atletico Madrid,아틀레티코 마드리드,la-liga,La Liga / Segunda
Atletico de Madrid,아틀레티코 마드리드,other,Other (UCL opponents)
Augsburg,아우크스부르크,bundesliga,Bundesliga / 2. Bundesliga
Auxerre,오세르,ligue-1,Ligue 1 / Ligue 2
Barcelona,FC 바르셀로나,la-liga,La Liga / Segunda
Bari,바리,serie-a,Serie A / Serie B
Bastia,바스티아,ligue-1,Ligue 1 / Ligue 2
Bayer 04 Leverkusen,레버쿠젠,bundesliga,Bundesliga / 2. Bundesliga
Bayern Munchen,바이에른 뮌헨,bundesliga,Bundesliga / 2. Bundesliga
Benfica,벤피카,other,Other (UCL opponents)
Besiktas,베식타시,other,Other (UCL opponents)
Birmingham City,버밍엄,premier-league,Premier League / Championship
Blackburn Rovers,블랙번,premier-league,Premier League / Championship
Bochum,보훔,bundesliga,Bundesliga / 2. Bundesliga
Bodo Glimt,보되/글림트,other,Other (UCL opponents)
Bologna,볼로냐,serie-a,Serie A / Serie B
Borussia Dortmund,도르트문트,bundesliga,Bundesliga / 2. Bundesliga
Borussia Monchengladbach,묀헨글라트바흐,bundesliga,Bundesliga / 2. Bundesliga
Bournemouth,본머스,premier-league,Premier League / Championship
Braga,브라가,other,Other (UCL opponents)
Braunschweig,브라운슈바이크,bundesliga,Bundesliga / 2. Bundesliga
Brentford,브렌트포드,premier-league,Premier League / Championship
Brescia,브레시아,serie-a,Serie A / Serie B
Brest,브레스트,ligue-1,Ligue 1 / Ligue 2
Brestois,브레스트,ligue-1,Ligue 1 / Ligue 2
Brighton Hove Albion,브라이턴,premier-league,Premier League / Championship
Bristol City,브리스톨 시티,premier-league,Premier League / Championship
Burgos,부르고스,la-liga,La Liga / Segunda
Burnley,번리,premier-league,Premier League / Championship
Cadiz,카디스,la-liga,La Liga / Segunda
Caen,캉,ligue-1,Ligue 1 / Ligue 2
Cagliari,칼리아리,serie-a,Serie A / Serie B
Cardiff City,카디프,premier-league,Premier League / Championship
Castellon,카스테욘,la-liga,La Liga / Segunda
Catanzaro,카탄차로,serie-a,Serie A / Serie B
Celta,셀타 비고,la-liga,La Liga / Segunda
Celta Vigo,셀타 비고,la-liga,La Liga / Segunda
Celtic,셀틱,other,Other (UCL opponents)
Cesena,체세나,serie-a,Serie A / Serie B
Ceuta,세우타,la-liga,La Liga / Segunda
Charlton Athletic,찰턴,premier-league,Premier League / Championship
Chelsea,첼시,premier-league,Premier League / Championship
Clermont,클레르몽,ligue-1,Ligue 1 / Ligue 2
Club Brugge,클럽 브뤼헤,other,Other (UCL opponents)
Club Brugge KV,클럽 브뤼헤,other,Other (UCL opponents)
Como,코모,serie-a,Serie A / Serie B
Copenhagen,코펜하겐,other,Other (UCL opponents)
Cordoba,코르도바,la-liga,La Liga / Segunda
Cosenza,코센차,serie-a,Serie A / Serie B
Coventry City,코번트리,premier-league,Premier League / Championship
Cremonese,크레모네세,serie-a,Serie A / Serie B
Crvena Zvezda,츠르베나 즈베즈다,other,Other (UCL opponents)
Crystal Palace,크리스탈 팰리스,premier-league,Premier League / Championship
Darmstadt,다름슈타트,bundesliga,Bundesliga / 2. Bundesliga
Deportivo Alaves,알라베스,la-liga,La Liga / Segunda
Deportivo Coruna,데포르티보,la-liga,La Liga / Segunda
Deportivo La Coruna,데포르티보,la-liga,La Liga / Segunda
Derby County,더비 카운티,premier-league,Premier League / Championship
Dinamo Zagreb,디나모 자그레브,other,Other (UCL opponents)
Dunkerque,됭케르크,ligue-1,Ligue 1 / Ligue 2
Dusseldorf,뒤셀도르프,bundesliga,Bundesliga / 2. Bundesliga
